2025-08-15 00:00:16.632 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing 18 jobs for company Reevo in batches of 18
2025-08-15 00:00:16.632 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Software Engineer: Frontend with score: 85.0%
2025-08-15 00:00:16.632 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 1/1 for company Reevo (jobs 1-18)
2025-08-15 00:00:16.656 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Prompt validation passed for company Reevo: 18623 characters
2025-08-15 00:00:16.805 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-15 00:00:16.806 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Software Engineer: Frontend (Message ID: 1755230416.842189)
2025-08-15 00:00:16.806 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Backend Software Engineer: APM with score: 80.0%
2025-08-15 00:00:16.949 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-15 00:00:16.949 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Backend Software Engineer: APM (Message ID: 1755230416.992149)
2025-08-15 00:00:19.797 [job-monitor-system-akka.actor.default-dispatcher-3] WARN  c.jobmonitor.service.MistralService - Job with ID 13 not found in provided job list
2025-08-15 00:00:19.797 [job-monitor-system-akka.actor.default-dispatcher-3] WARN  c.jobmonitor.service.MistralService - Job with ID 14 not found in provided job list
2025-08-15 00:00:19.797 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 1/1 for company Reevo - found 2 results
2025-08-15 00:00:19.797 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Software Engineer (Score: 90.0)
2025-08-15 00:00:19.797 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Found 1 matching jobs out of 18 analyzed for company Reevo
2025-08-15 00:00:19.798 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 🎯 Job match analysis completed for company Reevo: found 1 actual matches out of 1 total results
2025-08-15 00:00:19.798 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - Received 1 job match results from LLM
2025-08-15 00:00:19.798 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 📧 Company Reevo will receive 1 Slack notifications
2025-08-15 00:00:19.798 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - 🎯 JOB MATCHING SUMMARY: Found 1 matching jobs out of 1 total results
2025-08-15 00:00:19.798 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - 📧 Sending 1 Slack notifications for matching jobs
2025-08-15 00:00:19.798 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Software Engineer with score: 90.0%
2025-08-15 00:00:19.950 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-15 00:00:19.951 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Software Engineer (Message ID: 1755230419.988809)
2025-08-15 00:04:39.389 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - 📡 Received SchedulePoll message - starting job polling cycle
2025-08-15 00:04:39.391 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - 🏢 Starting to poll 5 companies: BRM, Commure, Decagon, Observe Inc, Reevo
2025-08-15 00:04:39.391 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: BRM
2025-08-15 00:04:39.392 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: BRM
2025-08-15 00:04:39.392 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Commure
2025-08-15 00:04:39.392 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: BRM
