2025-08-14 17:56:01.507 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.AshbyApiService - 🌐 Polling raw JSON from: https://api.ashbyhq.com/posting-api/job-board/commure-athelas
2025-08-14 17:56:01.508 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - 🔍 Querying database for job data for company: Observe Inc
2025-08-14 17:56:01.510 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - ✅ Database query completed for company: Observe Inc - Found: true
2025-08-14 17:56:01.510 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - 📤 Sending JobDataFound response to sender for company: Observe Inc
2025-08-14 17:56:01.510 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - ✅ JobDataFound response sent successfully for company: Observe Inc
2025-08-14 17:56:01.510 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - Job data found for company: Observe Inc - Present: true
2025-08-14 17:56:01.511 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - 📥 DatabaseActor received GetJobData message for company: Reevo
2025-08-14 17:56:01.511 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - 🔍 Querying database for job data for company: Reevo
2025-08-14 17:56:01.513 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - ✅ Database query completed for company: Reevo - Found: true
2025-08-14 17:56:01.514 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - 📤 Sending JobDataFound response to sender for company: Reevo
2025-08-14 17:56:01.515 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - ✅ JobDataFound response sent successfully for company: Reevo
2025-08-14 17:56:01.516 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - Job data found for company: Reevo - Present: true
2025-08-14 17:56:03.505 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.AshbyApiService - ✅ Retrieved and validated raw JSON for company commure-athelas (1294800 chars)
2025-08-14 17:56:03.505 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - ✅ Retrieved raw JSON response for company: Commure (1294800 characters)
